ナイスチャレンジです。	encourage: 星集め差分の和にも挑戦したのですが分かりませんでした。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 20日は休講で特にやっていないため何も進んでいません。
大丈夫ですよ、焦らず自分のペースで進めていきましょう。	encourage: AtCoder演習問題はまだ進めていません。
コツコツ進めていくことが大切ですよ！	encourage: ちょくちょく進めないとと思うのですがパソコンを開こうという気持ちにならないことが理由だと思います。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: また最近気づいたどうでもいいことなのですがAtCoderユーザ名が明らかに自分すぎてAtCoder演習問題の進み具合がバレるかもと思い失敗したなと思いました。
そういう時は、ゆっくりプログラムを確認しましょう。	encourage: colabでは「print」を使わずに実行することができるので使わずにそのままAtCoderで提出したら不正解になってしまっていたことになかなか気がつかなかった苦戦しました。
大丈夫ですよ、ゆっくり取り組んで行きましょう。	encourage: 第2回目の講義は進みませんでした。
少しでも取り組んでいくのが良いですよ。	encourage: 苦手ということもありやろうと思うまでに時間がかかってしまいます。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: やっぱりプログラミング苦手で結構難しかったです。
そういう時は、ゆっくりプログラムを確認しましょう。	encourage: 角度でradiansを入れ忘れたりプログラミングを短くしないとWAになり続けたりすごく大変でした。
大丈夫ですよ、焦らず自分のペースで進めていきましょう。	encourage: でも頑張ったのでお腹がすきました!想像以上に授業の対面が始まったら忙しく進められる時間があまりありませんでした。
大丈夫ですよ、ゆっくり取り組んで行きましょう。	encourage: 慣れるまで少し時間がかかりそうです...
そういう時は、ゆっくりプログラムを確認しましょう。	encourage: 2回の演習問題はあと三つです!Colabではちゃんと出力できてもAtCoderではエラーになってしまうものもあり難しいなと感じた。
そういう時は、ゆっくりプログラムを確認しましょう。	encourage: 例題はできるがAtCoderでの実践問題となると厳しい。
ゆっくり慣れていきましょう。	encourage: AtCoderにまだ慣れないです。
大丈夫ですよ、焦らず自分のペースで進めていきましょう。	encourage: 今週は全くすすんでないです。
緊張せず、気楽に取り組んでください！	encourage: 毎回結果がでるまでにやや時間があるので緊張してしまう。
取り組む気持ちが大切ですよ！	encourage: 空いた時間に演習問題を少しずつ進めようと思っていたのですが具体的な目標を定めていなかったので結局だらけてしまいほとんど進められませんでした。
だんだんと難しくなっているので、ゆっくり取り組んでいきましょう。	encourage: 前回より少しだけ進んだ気がしますが応用になると難しくて解くことが難しいです。
そういう時は、先生に相談してみてください。	encourage: atcorderのアカウントですが以前から作ってはいたもののログインすることができずまだ演習ができておりません。
コツコツ進めていきましょう！	encourage: 倉光先生は優しいので出席していれば単位は取れるだろうという安心感に甘えてしまい第1回目の授業からやらなければいけないことがたまっている状況です( ́;ω;`)やっと1週目の課題が終わりました...!長かったですね
繰り返しは難しいので、また復習してみてください。	encourage: 今週は条件分岐の内容でしたが私は繰り返し文が苦手だったのでfor文やwhile文の違いがよくわかっていませんでした。
そういう時は、一旦他のことに取り組むのはいかがですか？	encourage: 実行時エラーや不正解の連続で気が折れてしまいそうです。
大丈夫ですよ、解いていくことでだんだん速くなりますよ。	encourage: 初めの方は比較的スムーズに解き進めていましたが電源プラグなどで時間を取られてしまいました。
そういう時は、無理せずできることをやってみてください。	encourage: 今日はPCの調子がおかしくColaboratoryが動かなかったりカーソルが動かせなかったりで全然進みませんでした。
大丈夫ですよ、だんだん解けるようになりますよ。	encourage: わからない問題はどんどん飛ばしていってしまっているので前期終わり難しい問題しか残っていないのではと不安です。
星集めは難しいので、また復習してみてください。	encourage: 星集めはちょっと難しいですAtCoderは50(おつり)まで進みました。
だんだんと難しくなっているので、ゆっくり考えていきましょう。	encourage: 最初の30問くらいよりも難しい問題が増えてきたように感じます。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 周りに早い友人が多くて焦ってしまいました。
そんな時は、解ける問題から進めていきましょう。	encourage: 第2回の範囲は行列までで両面印刷の途中で止まってしまっている状態です。
大丈夫ですよ、だんだん解けるようになりますよ。	encourage: 一昨日のABC199に参加しましたが1問目しか解けず心が折れました。
消費税やソーシャルゲームは難しいので、ゆっくり考えてみてください。	encourage: 3.5の演習問題は消費税とソーシャルゲームに苦戦している。
リストは難しいので、ゆっくり進めていってください！	encourage: リストの扱いが苦手で第4回テキスト内の例題を丁寧に進めていたら授業中に演習問題にたどり着かなかった。
だんだん解いていくことで速くなっていきますよ！	encourage: B問題になると時間が掛かってしまいます。
預金は難しいので、また復習してみてください。	encourage: 預金が難しかったです。
B問題は難しいので、細かく分けて考えてみてください。	encourage: B問題が多くてかなりつまずきました。
大丈夫ですよ、ゆっくり取り組んで行きましょう。	encourage: 今日は前回に比べて問題があまり進まなかった。
そういう時は、落ち着いて見直していきましょう。	encourage: 例題の入力をして出力例が合っていたにも関わらずソースコードは間違っている判定をされた時にどこが間違っているのかを見つけるのが大変でした。
少しずつ進めていくと良いですよ。	encourage: 授業中に半分くらいしか進まないので毎回の課題が溜まってしまいます。
そういう時は、先生に声をかけてくださいね！	encourage: また1回目の課題でどうしてもわからないところなど前の授業でできなかったところをどう解決したら良いかわかりません。
そういう時は、先生に声をかけてくださいね！	encourage: 今日であれば友達は3回目の授業内容から進めるので聞きづらいです。
大丈夫ですよ、気にせず声をかけてみてください！	encourage: 大きい躓きというよりは小さいものなので先生にも対面ならいいですがオンラインだと聞きづらいです。
苦手な部分は、ゆっくり復習をしながら進めていきましょう。	encourage: また改めてwhile、for構文に苦手意識があるなあと思いました。
問題文を確認しながら解いてみてくださいね。	encourage: AtCoderは出力のYESとYesの違いで何回も弾かれて大変でした。
そういう時は、細かく分けて考えていきましょう。	encourage: 例題のお米の問題で問題の意味は分かったのですがプログラミングの内容でこのコードがこういう役割で何をやっているかというのがいまいちよく理解できておりません。
大丈夫ですよ、焦らず自分のペースで進めていきましょう。	encourage: 今日のzoomで周りの生徒の進捗状況が自分よりもだいぶ早そうでとても焦りました。
そういう時は、先生に相談してみてください。	encourage: 学校の遠隔用の教室でzoomを受講しているのだが全員静かに授業を聞いているのであまり声を出せる環境ではなくて困っている。
開始時間の問題は難しいので、また復習してみてください。	encourage: 第二回の講義の範囲となってしまいますがコンテストの開始時間の問題が難しくてかなりてこずってしまいました。
苦手な部分は、ゆっくり復習をしながら進めていきましょう。	encourage: 元々listが苦手なので他のものより進むのに時間がかかってます。
だんだんと難しくなっているので、ゆっくり取り組んでいきましょう。	encourage: 今回の演習問題は前回よりは難易度が上がったと思いました。
そういう時は、細かく分けて考えていきましょう。	encourage: シミュレーションを使う預金は難しいと思いました。
大丈夫ですよ、ゆっくり取り組んで行きましょう。	encourage: 今週の課題はなんだか難しくてあまりスムーズに進めることができませんでした。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 今日の内容は30で詰まってしまったため25~31までしか進みませんでした。
そういう時は細かく分けて考えてみましょう。	encourage: 今までif、whileを使うときは問題に条件文で書いてある場合や使って解きなさいと書かれている状況下でしかなかったので電気プラグの問題でどのように考えれば上手くたどり着くのか自力では思いつきませんでした。
だんだんと難しくなっているので、ゆっくり取り組んでいきましょう。	encourage: 全体的に前回の問題よりも難しく感じました。
filterbは難しいのでまた復習してみてください。	encourage: filterの使い方が少し難しく感じました。
そんな時は、落ち着いて問題文を読んでみてくださいね。	encourage: Nが1000の場合も考えていたため式が少し複雑になってしまいました。
大丈夫ですよ、ゆっくり取り組んで行きましょう。	encourage: 今日はなかなか疲れましたね...REやWAが来るとへこみます。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 難しくてかなり時間がかかってしまった。
そういう時もありますよ。ゆっくり進めていきましょう。	encourage: ゴールデンウィークはサボってしまってあんまり全然進みませんでした。
大丈夫ですよ、解いていけば速くなっていきますよ。	encourage: 4の演習問題をやったのですがB問題が多く難しかったためいつもより進みが遅くなてしまいました。
そういう時は、時間をかけて考えてみてください。	encourage: 演習問題がBやCばかりでいつもよりも難易度が高く難しかったです。
大丈夫ですよ、ゆっくり取り組んで行きましょう。	encourage: 難しくて全然進みませんでした。
そういう時は、細かく分けて考えていきましょう。	encourage: ちょっと難しかったです。
リストは難しいので、また復習してみてください。	encourage: 齋藤千種さんに1問助けてもらいました!リストをまだ使いこなせず難しく感じた。
そういう時もあありますよ。ゆっくり問題文を読んでみてくださいね。	encourage: 興味があったので授業時間外に使用したところ何度もエラーを連発しとても悲しかったです。
そういう時は、前後の問題の復習をしてみてはいかがですか？	encourage: わからない問題があった場合飛ばして解くのですがそうするとどのコードを使えばいいかわからなくなることがあります。
自分のペースで進めていけば大丈夫ですよ。	encourage: 少しペースが遅かったためゴールデンウィークの間に進めたのですが同じルームの子に追いついただけだったので悔しいです。
リストは難しいので、ゆっくり考えながら進めてみてください。	encourage: リストが難しく友達に教えてもらわないと中々進めることができなかったです。
平均点は難しいですね。また復習してみてください。	encourage: 平均点難しかった。
リストは難しいので、また復習してみてください。	encourage: AtCoderを始めてからPythonの理解度が上がった気がします!・「4.リストと繰り返し」の演習問題はとても難しかったです。
for文は難しいので、ゆっくり考えながら進めてみてください。	encourage: 特にfor文や演算系(+=など)を使うべき問題が難しかったです。
そういう時は、一旦他のことに取り組むのはいかがですか？	encourage: 何回も不正解が出てしまい心が折れそうになりました
問題を重ねていけばコードで表現する力もついていきますよ！	encourage: 問題自体はクイズみたいでアルゴリズムを考えつくことは比較的容易なのですがコードで表現する部分に苦戦しています。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 思うようにすらすらいかずこの時間内で課題リスト4~5問ほどしか進みませんでした。
そういう時は、落ち着いて問題文を見直してみてください。	encourage: これが何をしているのかよくわからなかった。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 友達はもう30問目に進んでいると聞き少し焦り始めてきました。
listは難しいので、また復習してみてください。	encourage: list使うの苦手です...。
大丈夫ですよ、解いていけば速くなっていきますよ。	encourage: 一問あたりにかかる時間が長くなってきました。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 周りに比べたらまだまだ進捗は遅いかもしれません。
リストは難しいので、また復習してみてください。	encourage: リストのところをやっているのですがとても難しく感じました。
そういう時は、時間をかけて復習してみてはいかがですか？	encourage: defを使うやり方を去年授業で確認してたはずなのですがあまり理解出来ていなかったらしく進みが遅くなりそうです。
だんだん解いていくことで速くなっていきますよ！	encourage: 前よりも授業内に進むスピードが遅くなっていると感じます。
難しい時は、細かく分けて考えてみてください。	encourage: AはできるようになったけれどもまだBとCは難しいなと思うことが多いです。
そういう時は、ゆっくり時間をかけて考えてみてください。	encourage: 1年生の時もそうでしたがリストやfor文の内容に入ったころから一気に分からなくなってきてしまいました。
そういう時は、細かく分けて考えていきましょう。	encourage: 例題は上手くできたがAtCoderで自分で考えるのが難しかった。
リストは難しいので、また復習してみてください。	encourage: リストが苦手で今週の講義は自分には難しかったです。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 第6回の演習問題の後半は複雑に感じて提出までに時間がかかった。
そんな時は、一旦他の問題に取り組んでみてはいかがですか？	encourage: 特にグリッド圧縮と755にはかなり時間をかけているがまだ解けていない。
そんな時は、細かく分けて考えてみてください。	encourage: テキストに載っていた再帰のプログラムは理解できたが演習問題へどう用いるかが分からず苦戦している。
大丈夫ですよ、落ち着いて考えてみてください。	encourage: 少し話が難しくなってきました。
大丈夫ですよ、ゆっくり取り組んで行きましょう。	encourage: 難しい問題がありひとつの問題に時間をかけてしまいあまり進められなかった。
そういう時もありますよ。ゆっくり進めていきましょう。	encourage: 今週は全然手をつけることができませんでした。
大丈夫ですよ、焦らず細かく分けて考えてみてください。	encourage: だんだん内容が難しくなってきて一人では全く進められなくなってきて焦っています。
先生に声をかけて大丈夫ですよ。	encourage: 友達に質問しずらくなってきた...。
大丈夫ですよ、落ち着いて考えてみてください。	encourage: WAが連発でなかなかてこずっており2問しかACが出ていません。
c問題は難しいので、ゆっくり考えてみてください。	encourage: c問題が増えてきて難しくなってきた。
二重誤差は難しいので、また復習してみてください。	encourage: 二重誤差が難しかったです。
リストは難しいので、また復習してみてください。	encourage: リストの範囲が難しく感じた。
コツコツ進めていくことが大切ですよ！	encourage: でも授業時間以外に練習しようとアットコーダーを開くまでがすごい腰が重いです。
自分のペースで進めていけば大丈夫ですよ。	encourage: 他にもこんな人がいるのか気になります。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 今週はAtCoderをそんな進めることができませんでした。
そんな時は、落ち着いて見直してみましょう。	encourage: 見やすいように名前を入れたのですがどこがダメなのかよくわからないです。
関数は難しいので、ゆっくり復習してみてください。	encourage: 1年生の時に関数は触れる程度でしか学習していないので6の関数から難しく授業時間内ではあまり進みませんでした。
そういう時は一旦他の問題に取り組んでみるのも良いですよ。	encourage: 何度か考えたり手を動かしてみましたが難しくて正解することが出来ませんでした。
ゆっくり時間をかけて取り組んでみてください。	encourage: 最初のほうはスラスラ解ける問題もありましたが非常に難しいと感じる問題が増えてきました。
そういう時は問題を見直してから進めていきましょう！	encourage: 今は文字列に取り組んでいるのですが0から数えなくてはいけないことを忘れてしまったり組み合わせ方が難しいと思いました。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 先週はあまりやる気が出ず解いた量も少なかったので進んでいる人との差が開いてしまったように感じました。
コツコツ続けていけば、だんだん速くなっていきますよ。	encourage: 毎回あまり進まず時間がかかってしまうのを何とかしたいです。
そういう時は、無理しないことが大切です。	encourage: 感謝!!今週は体調が悪くてなかなか進めることができませんでした。
文字列の置き換えは難しいのでゆっくり考えてみてください。	encourage: 文字列の置き換えの問題が難しかったです。
毎日少しでも取り組んで行きましょう！	encourage: やはり例年通り最初のころのやる気がなくなってしまう...。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 内容が懐かしいものばかりで自分やらなすぎだなと感じました。
関数は難しいので、ゆっくり取り組んでみてください。	encourage: いつも難しいなと思っていましたが関数はやはりもっと難しくエラーをたくさん繰り返しました。
そういう時は、無理せず少しずつ進めていきましょう。	encourage: 友達と話しながらやると面白いな解けるなと思うことがあり解けると次の問題に行こうと思えるのですが一人でやると1問で疲れてなかなか次の問題に進めない気がしました。
だんだんと難しくなっているので、ゆっくり考えていきましょう。	encourage: しかし第6回はあまり数をこなせなかったことが影響しているのか以前までは複雑な問題でもすぐに解法がひらめいていたのですが第6回はひらめきが若干遅くなった気がしています。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: あまり進みませんでした。
だんだんと難しくなっているので、ゆっくり取り組んでいきましょう。	encourage: だんだんと番号が大きくなるにつれ内容も重くなってきていると感じます。
大丈夫ですよ、ゆっくり取り組んで行きましょう。	encourage: また土曜日にABCに参加しましたがA問題しか解けませんでした...
そんな時は、ぜひどこかで昔の問題に戻ってみてくださいね。	encourage: わからないところを飛ばしてどんどん進んでしまっているので進捗はあまりよくないと思います。
大丈夫ですよ、ゆっくり取り組んで行きましょう。	encourage: 難しいです。
だんだんと難しくなっているので、ゆっくり考えていきましょう。	encourage: 先週に比べかなり難しかったです。
時間をおいてまた取り組んでみてはいかがですか？	encourage: C問題は実行時間超過になってしまい悔しかったです。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 今週はあまりできませんでした。
関数は難しいので、ゆっくり復習してみてください。	encourage: 関数難しいです。
そういう時は、細かく分けて考えていきましょう。	encourage: わかったようで分からない
大丈夫ですよ、取り組んでいけばだんだんできるようになりますよ。	encourage: 最近自分一人で解ける問題が全然なくて焦っています。
関数は難しいので、ゆっくり考えてみてください。	encourage: 関数難しかったです。
関数は難しいので、また取り組んでみてください。	encourage: 関数を使い慣れていないので難しかったです。
関数は難しいので、また復習してみてください。	encourage: 関数難しいです。
色々な知識をつけることで自分の力になっていきますよ。	encourage: 「こうやって解くのか!」という発見も学習であることは承知している重々承知のですが誰かの発想をほぼそのまま拝借するのもちょっと悔しいです。
関数は難しいので、また考えてみてください。	encourage: 今日の関数はとても難しかったです。
自分のペースで進めていきましょう。	encourage: すべての授業が終わってるまでに問題が解き終わる気がしないです。
焦らず、コツコツ取り組んでみてください。	encourage: だんだん問題が難しくなっていく中での正解問題数が38なのでペースが周りより遅いことはわかっていたのですが不安が大きくなってきました。
関数は難しいので、ゆっくり復習してみてください。	encourage: 今までの範囲でも難しいなぁと感じていたのに関数という新たな強敵も出てきて世も末って感じです。
そんな時は、時間をおいて取り組んでみてはいかがですか？	encourage: 実際にやってみても難しくて鬱になりそうです。
大丈夫ですよ、ゆっくり取り組んで行きましょう。	encourage: 悔しいです。
そんな時は、細かく分けて取り組んでみてください。	encourage: 内容が難しい。
そんな時は、落ち着いて少しずつ考えてみてください。	encourage: 今週の内容とても難しかったです。
コツコツ進めていきましょう！	encourage: ほかの科目の課題が多すぎて泣けます。
苦手な部分は、復習しながら進めていきましょう。	encourage: 総まとめ復習みたいな問題が多いなと思ったのですがやはりリストとか文字列とかが苦手だなと感じてしまいました...
ゆっくり取り組んでみてください。	encourage: 少し難しくなってきた。
そんな時は、細かく分けて考えてみてください。	encourage: 難しいです。
不安に思わず、落ち着いて取り組んでみてください。	encourage: 次回からのアルゴリズムがとても不安です。
そんな時は、一旦他のことをやってみてはいかがですか？	encourage: 今回の授業はAtCoder行き詰りました。
ゆっくりでもコツコツ続けることが大切ですよ。	encourage: AtCoderのペースが難しくなって落ちてきました...。
そんな時は、細かく分けて取り組んでみてください。	encourage: 私には難しい。
焦らず、自分のペースで進めていきましょう。	encourage: アンケートに目標が150問と書きましたが現在60問ほどしか進んでおらず来週からアルゴリズムになるのにまずいな、、と思いました。
毎日少ずつ進めるのがオススメですよ。	encourage: 毎週少しずつやっているつもりでも後れを取っているなという感じなので頑張ります!!!!!昨日中間アンケートに答えた後いつまでも鬱だ鬱だ言っててもよくないよなぁと思い夜にプログラミングに取り組みました。
焦らず、じっくり考えてみてください。	encourage: 第8章から解説を見ながらでないと解けなくなってきていて焦ります。
大丈夫ですよ、ゆっくり取り組んで行きましょう。	encourage: 今後が心配です。
大丈夫ですよ、自分のペースで進めていきましょう。	encourage: 目標は100問ですがこれからもっと難しくなるだろうし目標を達成できるか心配です。
一旦時間をおいて考えてみたら、解けるかもしれませんよ。	encourage: 難しい問題に1時間半くらい取り組んだが結局解けなくて悔しい。
今回の範囲は難しかったので、また取り組んでみてください。	encourage: また今回の範囲はB問題でも他の人の解答を見ないとわからないようなものがありまだまだ全然だなあと思った。
時間をかけて問題を解いていくことも大切ですよ！	encourage: AtCoderの方は最近進みが悪くなりました!!難しくなってきました、
自分のペースで頑張っていきましょう！	encourage: 元々進捗が他の方よりもかなり遅いので心配です。
コツコツ進めていけば大丈夫ですよ！	encourage: 達成できるか不安です...。
そんな時は、ゆっくりと取り組んでみてください。	encourage: だんだん難しくなってきているとひしひしと感じています。
アルゴリズムは難しいので、時間をかけて考えてみてください。	encourage: アルゴリズムについての内容に入り難しいな、、と感じています。
論理式は難しいですよね、ゆっくり考えてみてください。	encourage: 論理式が難しくてなかなか解けないです。
そんな時は、一旦昔の問題を解いてみてはいかがですか？	encourage: AtCoderでは2問目からつまづいてしまいました。
二乗誤差は難しいですよね、ゆっくり考えてみてください。	encourage: 二乗誤差で見事に沼りました。
そんな時は、細かく分けて考えてみてください。	encourage: 次第に数学的にも難しい内容になってきているので難しいです。
大丈夫ですよ、一旦自分の中に落とし込んで解くことが大切です。	encourage: そこから自分なりにコードを記述するようになりましたが自分で問題を解いたわけではないのでそれを提出してACをもらってもいいのか少し不安になるときがあります。
そんな時は、ゆっくり問題を見直してみてください。	encourage: 入力例を試して出力例が正しく出たとしても実際提出するとWAで返ってくることが今回の第9回の演習問題では特に多く苦戦しています。
まずは解けたことが大切です。	encourage: 13日のABC、C問題まで解けたが振り返ってみるとびっくりするほどややこしいやり方で解いていて後悔した。
そんな時は、一旦前に戻って進めてみてください。	encourage: 今週先週と全然進みませんでした、心配です。
地道に取り組むことが大切ですよ。	encourage: 毎回割と苦労してます、。
自分のペースで進めていきましょう。	encourage: 皆さん早く出来ているのかと思うと心配です。
そういう時もありますよ。落ち着いて問題を見てみましょう。	encourage: その後そもそも余りが繰り返されることに気づいてなぜ気づかなかったのかとショックを受けました。
そんな時は、少し離れてみてはいかがですか。	encourage: 解けていない問題を進めていこうとしていますが解ける問題がだんだんなくなってきていて焦っています。
そんな日もありますよ。落ち着いて考えてみてください。	encourage: ・198 POW?今回解いた問題の判定がTELばかりでメンタルがやられました。
自分のペースで頑張っていきましょう！	encourage: 周りの人が進んでいると思うと焦ってしまいます。
焦らず、じっくり考えてみてください。	encourage: A問題はすらすら解けるようになったがB問題が全然解けないので焦ってます。
関数は難しいので、また復習してみてください。	encourage: 関数が苦手なので理解するのが難しかったです。
コツコツ続けていくことが大切ですよ。	encourage: すぐ解けそうな問題はおおよそ解いてしまったのでペースが落ちそうです...。
そんな時は、一旦昔の問題を解いてみてはいかがですか？	encourage: 最初の4問だけ解けましたがそれ以降は本当に難しくて歯が立ちませんでした。
アルゴリズムは難しいので、ゆっくり取り組んでみてくださいね。	encourage: アルゴリズムはやっぱり難しいです。
やることが多い時は細かく分けて考えてみてください。	encourage: c問題はやることが多くて大変です
自分のペースで落ち着いてやっていきましょう。	encourage: かなり遅れているので不安ですが頑張ります。
一旦時間をおいてまた考えてみてください！	encourage: スマホ中毒を頑張って考えていたのですが考えるべき例外が多すぎて挫折しました。
粘り強く取り組めば、だんだん速くなりますよ。	encourage: 最近1問解くのに時間がかかってなかなか進みません。
楽しく解くことが一番なので、そのままコツコツ続けていきましょう！	encourage: 時間を見つけて楽しく解いてはいますが目標のACの数に届くか心配になってきました。
並び替えは難しいので、細かく分けて考えてみてください。	encourage: 簡単な並び替えなら簡単だが複雑になるとわからなくなる。
くじけず、一日1問でも取り組んでみてください。	encourage: 毎日AtCoderをやる習慣がせっかくついたのにくじけそうです。
そんな時は、一旦昔の問題に取り組んでみてはいかがですか？	encourage: 先週先々週に引き続き全然進んでなくてより腰が重くなっています。
内容を理解することで自分の力にしていくことができますよ。	encourage: どうしても思いつかず他の人が解答したプログラムを見てprintで途中を表示しながらこういう流れだと理解することが増えていて自分の力になっているのかが不安です。
そんな時は、一休みしてみてはいかがですか？	encourage: 週に解くスピードもやる気も落ちてきてしまっているのが最近の悩みです。
一旦、他のことに取り組んでみるのもオススメですよ。	encourage: どうすればまたやる気になれるのでしょうか。
