Hagemashi: 星集め差分の和にも挑戦したのですが分かりませんでした。	ナイスチャレンジです。
Hagemashi: 慣れるまで少し時間がかかりそうです...	大丈夫ですよ、ゆっくり取り組んで行きましょう。
Hagemashi: 2回の演習問題はあと三つです!Colabではちゃんと出力できてもAtCoderではエラーになってしまうものもあり難しいなと感じた。	そういう時は、ゆっくりプログラムを確認しましょう。
Hagemashi: 例題はできるがAtCoderでの実践問題となると厳しい。	そういう時は、ゆっくりプログラムを確認しましょう。
Hagemashi: AtCoderにまだ慣れないです。	ゆっくり慣れていきましょう。
Hagemashi: 今週は全くすすんでないです。	大丈夫ですよ、焦らず自分のペースで進めていきましょう。
Hagemashi: 毎回結果がでるまでにやや時間があるので緊張してしまう。	緊張せず、気楽に取り組んでください！
Hagemashi: 空いた時間に演習問題を少しずつ進めようと思っていたのですが具体的な目標を定めていなかったので結局だらけてしまいほとんど進められませんでした。	取り組む気持ちが大切ですよ！
Hagemashi: 前回より少しだけ進んだ気がしますが応用になると難しくて解くことが難しいです。	だんだんと難しくなっているので、ゆっくり取り組んでいきましょう。
Hagemashi: atcorderのアカウントですが以前から作ってはいたもののログインすることができずまだ演習ができておりません。	そういう時は、先生に相談してみてください。
Hagemashi: 倉光先生は優しいので出席していれば単位は取れるだろうという安心感に甘えてしまい第1回目の授業からやらなければいけないことがたまっている状況です( ́;ω;`)やっと1週目の課題が終わりました...!長かったですね	コツコツ進めていきましょう！
Hagemashi: 今週は条件分岐の内容でしたが私は繰り返し文が苦手だったのでfor文やwhile文の違いがよくわかっていませんでした。	繰り返しは難しいので、また復習してみてください。
Hagemashi: 実行時エラーや不正解の連続で気が折れてしまいそうです。	そういう時は、一旦他のことに取り組むのはいかがですか？
Hagemashi: 初めの方は比較的スムーズに解き進めていましたが電源プラグなどで時間を取られてしまいました。	大丈夫ですよ、解いていくことでだんだん速くなりますよ。
Hagemashi: 今日はPCの調子がおかしくColaboratoryが動かなかったりカーソルが動かせなかったりで全然進みませんでした。	そういう時は、無理せずできることをやってみてください。
Hagemashi: わからない問題はどんどん飛ばしていってしまっているので前期終わり難しい問題しか残っていないのではと不安です。	大丈夫ですよ、だんだん解けるようになりますよ。
Hagemashi: 星集めはちょっと難しいですAtCoderは50(おつり)まで進みました。	星集めは難しいので、また復習してみてください。
Hagemashi: 最初の30問くらいよりも難しい問題が増えてきたように感じます。	だんだんと難しくなっているので、ゆっくり考えていきましょう。
Hagemashi: 周りに早い友人が多くて焦ってしまいました。	大丈夫ですよ、自分のペースで進めていきましょう。
Hagemashi: 第2回の範囲は行列までで両面印刷の途中で止まってしまっている状態です。	そんな時は、解ける問題から進めていきましょう。
Hagemashi: 一昨日のABC199に参加しましたが1問目しか解けず心が折れました。	大丈夫ですよ、だんだん解けるようになりますよ。
Hagemashi: 3.5の演習問題は消費税とソーシャルゲームに苦戦している。	消費税やソーシャルゲームは難しいので、ゆっくり考えてみてください。
Hagemashi: リストの扱いが苦手で第4回テキスト内の例題を丁寧に進めていたら授業中に演習問題にたどり着かなかった。	リストは難しいので、ゆっくり進めていってください！
Hagemashi: B問題になると時間が掛かってしまいます。	だんだん解いていくことで速くなっていきますよ！
Hagemashi: 預金が難しかったです。	預金は難しいので、また復習してみてください。
Hagemashi: B問題が多くてかなりつまずきました。	B問題は難しいので、細かく分けて考えてみてください。
Hagemashi: 今日は前回に比べて問題があまり進まなかった。	大丈夫ですよ、ゆっくり取り組んで行きましょう。
Hagemashi: 例題の入力をして出力例が合っていたにも関わらずソースコードは間違っている判定をされた時にどこが間違っているのかを見つけるのが大変でした。	そういう時は、落ち着いて見直していきましょう。
Hagemashi: 授業中に半分くらいしか進まないので毎回の課題が溜まってしまいます。	少しずつ進めていくと良いですよ。
Hagemashi: また1回目の課題でどうしてもわからないところなど前の授業でできなかったところをどう解決したら良いかわかりません。	そういう時は、先生に声をかけてくださいね！
Hagemashi: 今日であれば友達は3回目の授業内容から進めるので聞きづらいです。	そういう時は、先生に声をかけてくださいね！
Hagemashi: 大きい躓きというよりは小さいものなので先生にも対面ならいいですがオンラインだと聞きづらいです。	大丈夫ですよ、気にせず声をかけてみてください！
Hagemashi: また改めてwhile、for構文に苦手意識があるなあと思いました。	苦手な部分は、ゆっくり復習をしながら進めていきましょう。
Hagemashi: AtCoderは出力のYESとYesの違いで何回も弾かれて大変でした。	問題文を確認しながら解いてみてくださいね。
Hagemashi: 例題のお米の問題で問題の意味は分かったのですがプログラミングの内容でこのコードがこういう役割で何をやっているかというのがいまいちよく理解できておりません。	そういう時は、細かく分けて考えていきましょう。
Hagemashi: 今日のzoomで周りの生徒の進捗状況が自分よりもだいぶ早そうでとても焦りました。	大丈夫ですよ、焦らず自分のペースで進めていきましょう。
Hagemashi: 学校の遠隔用の教室でzoomを受講しているのだが全員静かに授業を聞いているのであまり声を出せる環境ではなくて困っている。	そういう時は、先生に相談してみてください。
Hagemashi: 第二回の講義の範囲となってしまいますがコンテストの開始時間の問題が難しくてかなりてこずってしまいました。	開始時間の問題は難しいので、また復習してみてください。
Hagemashi: 元々listが苦手なので他のものより進むのに時間がかかってます。	苦手な部分は、ゆっくり復習をしながら進めていきましょう。
Hagemashi: 今回の演習問題は前回よりは難易度が上がったと思いました。	だんだんと難しくなっているので、ゆっくり取り組んでいきましょう。
Hagemashi: シミュレーションを使う預金は難しいと思いました。	そういう時は、細かく分けて考えていきましょう。
Hagemashi: 今週の課題はなんだか難しくてあまりスムーズに進めることができませんでした。	大丈夫ですよ、ゆっくり取り組んで行きましょう。
Hagemashi: 今日の内容は30で詰まってしまったため25~31までしか進みませんでした。	大丈夫ですよ、自分のペースで進めていきましょう。
Hagemashi: 今までif、whileを使うときは問題に条件文で書いてある場合や使って解きなさいと書かれている状況下でしかなかったので電気プラグの問題でどのように考えれば上手くたどり着くのか自力では思いつきませんでした。	そういう時は細かく分けて考えてみましょう。
Hagemashi: 全体的に前回の問題よりも難しく感じました。	だんだんと難しくなっているので、ゆっくり取り組んでいきましょう。
Hagemashi: filterの使い方が少し難しく感じました。	filterbは難しいのでまた復習してみてください。
Hagemashi: Nが1000の場合も考えていたため式が少し複雑になってしまいました。	そんな時は、落ち着いて問題文を読んでみてくださいね。
Hagemashi: 今日はなかなか疲れましたね...REやWAが来るとへこみます。	大丈夫ですよ、ゆっくり取り組んで行きましょう。
Hagemashi: 難しくてかなり時間がかかってしまった。	大丈夫ですよ、自分のペースで進めていきましょう。
Hagemashi: ゴールデンウィークはサボってしまってあんまり全然進みませんでした。	そういう時もありますよ。ゆっくり進めていきましょう。
Hagemashi: 4の演習問題をやったのですがB問題が多く難しかったためいつもより進みが遅くなてしまいました。	大丈夫ですよ、解いていけば速くなっていきますよ。
Hagemashi: 演習問題がBやCばかりでいつもよりも難易度が高く難しかったです。	そういう時は、時間をかけて考えてみてください。
Hagemashi: 難しくて全然進みませんでした。	大丈夫ですよ、ゆっくり取り組んで行きましょう。
Hagemashi: ちょっと難しかったです。	そういう時は、細かく分けて考えていきましょう。
Hagemashi: 齋藤千種さんに1問助けてもらいました!リストをまだ使いこなせず難しく感じた。	リストは難しいので、また復習してみてください。
Hagemashi: 興味があったので授業時間外に使用したところ何度もエラーを連発しとても悲しかったです。	そういう時もあありますよ。ゆっくり問題文を読んでみてくださいね。
Hagemashi: わからない問題があった場合飛ばして解くのですがそうするとどのコードを使えばいいかわからなくなることがあります。	そういう時は、前後の問題の復習をしてみてはいかがですか？
Hagemashi: 少しペースが遅かったためゴールデンウィークの間に進めたのですが同じルームの子に追いついただけだったので悔しいです。	自分のペースで進めていけば大丈夫ですよ。
Hagemashi: リストが難しく友達に教えてもらわないと中々進めることができなかったです。	リストは難しいので、ゆっくり考えながら進めてみてください。
Hagemashi: 平均点難しかった。	平均点は難しいですね。また復習してみてください。
Hagemashi: AtCoderを始めてからPythonの理解度が上がった気がします!・「4.リストと繰り返し」の演習問題はとても難しかったです。	リストは難しいので、また復習してみてください。
Hagemashi: 特にfor文や演算系(+=など)を使うべき問題が難しかったです。	for文は難しいので、ゆっくり考えながら進めてみてください。
Hagemashi: 何回も不正解が出てしまい心が折れそうになりました	そういう時は、一旦他のことに取り組むのはいかがですか？
Hagemashi: 問題自体はクイズみたいでアルゴリズムを考えつくことは比較的容易なのですがコードで表現する部分に苦戦しています。	問題を重ねていけばコードで表現する力もついていきますよ！
Hagemashi: 思うようにすらすらいかずこの時間内で課題リスト4~5問ほどしか進みませんでした。	大丈夫ですよ、自分のペースで進めていきましょう。
Hagemashi: これが何をしているのかよくわからなかった。	そういう時は、落ち着いて問題文を見直してみてください。
Hagemashi: 友達はもう30問目に進んでいると聞き少し焦り始めてきました。	大丈夫ですよ、自分のペースで進めていきましょう。
Hagemashi: list使うの苦手です...。	listは難しいので、また復習してみてください。
Hagemashi: 一問あたりにかかる時間が長くなってきました。	大丈夫ですよ、解いていけば速くなっていきますよ。
Hagemashi: 周りに比べたらまだまだ進捗は遅いかもしれません。	大丈夫ですよ、自分のペースで進めていきましょう。
Hagemashi: リストのところをやっているのですがとても難しく感じました。	リストは難しいので、また復習してみてください。
Hagemashi: defを使うやり方を去年授業で確認してたはずなのですがあまり理解出来ていなかったらしく進みが遅くなりそうです。	そういう時は、時間をかけて復習してみてはいかがですか？
Hagemashi: 前よりも授業内に進むスピードが遅くなっていると感じます。	だんだん解いていくことで速くなっていきますよ！
Hagemashi: AはできるようになったけれどもまだBとCは難しいなと思うことが多いです。	難しい時は、細かく分けて考えてみてください。
Hagemashi: 1年生の時もそうでしたがリストやfor文の内容に入ったころから一気に分からなくなってきてしまいました。	そういう時は、ゆっくり時間をかけて考えてみてください。
Hagemashi: 例題は上手くできたがAtCoderで自分で考えるのが難しかった。	そういう時は、細かく分けて考えていきましょう。
Hagemashi: リストが苦手で今週の講義は自分には難しかったです。	リストは難しいので、また復習してみてください。
Hagemashi: 第6回の演習問題の後半は複雑に感じて提出までに時間がかかった。	大丈夫ですよ、自分のペースで進めていきましょう。
Hagemashi: 特にグリッド圧縮と755にはかなり時間をかけているがまだ解けていない。	そんな時は、一旦他の問題に取り組んでみてはいかがですか？
Hagemashi: テキストに載っていた再帰のプログラムは理解できたが演習問題へどう用いるかが分からず苦戦している。	そんな時は、細かく分けて考えてみてください。
Hagemashi: 少し話が難しくなってきました。	大丈夫ですよ、落ち着いて考えてみてください。
Hagemashi: 難しい問題がありひとつの問題に時間をかけてしまいあまり進められなかった。	大丈夫ですよ、ゆっくり取り組んで行きましょう。
Hagemashi: 今週は全然手をつけることができませんでした。	そういう時もありますよ。ゆっくり進めていきましょう。
Hagemashi: だんだん内容が難しくなってきて一人では全く進められなくなってきて焦っています。	大丈夫ですよ、焦らず細かく分けて考えてみてください。
Hagemashi: 友達に質問しずらくなってきた...。	先生に声をかけて大丈夫ですよ。
Hagemashi: WAが連発でなかなかてこずっており2問しかACが出ていません。	大丈夫ですよ、落ち着いて考えてみてください。
Hagemashi: c問題が増えてきて難しくなってきた。	c問題は難しいので、ゆっくり考えてみてください。
Hagemashi: 二重誤差が難しかったです。	二重誤差は難しいので、また復習してみてください。
Hagemashi: リストの範囲が難しく感じた。	リストは難しいので、また復習してみてください。
Hagemashi: でも授業時間以外に練習しようとアットコーダーを開くまでがすごい腰が重いです。	コツコツ進めていくことが大切ですよ！
Hagemashi: 他にもこんな人がいるのか気になります。	自分のペースで進めていけば大丈夫ですよ。
Hagemashi: 今週はAtCoderをそんな進めることができませんでした。	大丈夫ですよ、自分のペースで進めていきましょう。
Hagemashi: 見やすいように名前を入れたのですがどこがダメなのかよくわからないです。	そんな時は、落ち着いて見直してみましょう。
Hagemashi: 1年生の時に関数は触れる程度でしか学習していないので6の関数から難しく授業時間内ではあまり進みませんでした。	関数は難しいので、ゆっくり復習してみてください。
Hagemashi: 何度か考えたり手を動かしてみましたが難しくて正解することが出来ませんでした。	そういう時は一旦他の問題に取り組んでみるのも良いですよ。
Hagemashi: 最初のほうはスラスラ解ける問題もありましたが非常に難しいと感じる問題が増えてきました。	ゆっくり時間をかけて取り組んでみてください。
Hagemashi: 今は文字列に取り組んでいるのですが0から数えなくてはいけないことを忘れてしまったり組み合わせ方が難しいと思いました。	そういう時は問題を見直してから進めていきましょう！
Hagemashi: 先週はあまりやる気が出ず解いた量も少なかったので進んでいる人との差が開いてしまったように感じました。	大丈夫ですよ、自分のペースで進めていきましょう。
Hagemashi: 毎回あまり進まず時間がかかってしまうのを何とかしたいです。	コツコツ続けていけば、だんだん速くなっていきますよ。
Hagemashi: 感謝!!今週は体調が悪くてなかなか進めることができませんでした。	そういう時は、無理しないことが大切です。
Hagemashi: 文字列の置き換えの問題が難しかったです。	文字列の置き換えは難しいのでゆっくり考えてみてください。
Hagemashi: やはり例年通り最初のころのやる気がなくなってしまう...。	毎日少しでも取り組んで行きましょう！
Hagemashi: 内容が懐かしいものばかりで自分やらなすぎだなと感じました。	大丈夫ですよ、自分のペースで進めていきましょう。
Hagemashi: いつも難しいなと思っていましたが関数はやはりもっと難しくエラーをたくさん繰り返しました。	関数は難しいので、ゆっくり取り組んでみてください。
Hagemashi: 友達と話しながらやると面白いな解けるなと思うことがあり解けると次の問題に行こうと思えるのですが一人でやると1問で疲れてなかなか次の問題に進めない気がしました。	そういう時は、無理せず少しずつ進めていきましょう。
Hagemashi: しかし第6回はあまり数をこなせなかったことが影響しているのか以前までは複雑な問題でもすぐに解法がひらめいていたのですが第6回はひらめきが若干遅くなった気がしています。	だんだんと難しくなっているので、ゆっくり考えていきましょう。
Hagemashi: あまり進みませんでした。	大丈夫ですよ、自分のペースで進めていきましょう。
Hagemashi: だんだんと番号が大きくなるにつれ内容も重くなってきていると感じます。	だんだんと難しくなっているので、ゆっくり取り組んでいきましょう。
Hagemashi: また土曜日にABCに参加しましたがA問題しか解けませんでした...	大丈夫ですよ、ゆっくり取り組んで行きましょう。
Hagemashi: わからないところを飛ばしてどんどん進んでしまっているので進捗はあまりよくないと思います。	そんな時は、ぜひどこかで昔の問題に戻ってみてくださいね。
Hagemashi: 難しいです。	大丈夫ですよ、ゆっくり取り組んで行きましょう。
Hagemashi: 先週に比べかなり難しかったです。	だんだんと難しくなっているので、ゆっくり考えていきましょう。
Hagemashi: C問題は実行時間超過になってしまい悔しかったです。	時間をおいてまた取り組んでみてはいかがですか？
Hagemashi: 今週はあまりできませんでした。	大丈夫ですよ、自分のペースで進めていきましょう。
Hagemashi: 関数難しいです。	関数は難しいので、ゆっくり復習してみてください。
Hagemashi: わかったようで分からない	そういう時は、細かく分けて考えていきましょう。
Hagemashi: 最近自分一人で解ける問題が全然なくて焦っています。	大丈夫ですよ、取り組んでいけばだんだんできるようになりますよ。
Hagemashi: 関数難しかったです。	関数は難しいので、ゆっくり考えてみてください。
Hagemashi: 関数を使い慣れていないので難しかったです。	関数は難しいので、また取り組んでみてください。
Hagemashi: 関数難しいです。	関数は難しいので、また復習してみてください。
Hagemashi: 「こうやって解くのか!」という発見も学習であることは承知している重々承知のですが誰かの発想をほぼそのまま拝借するのもちょっと悔しいです。	色々な知識をつけることで自分の力になっていきますよ。
Hagemashi: 今日の関数はとても難しかったです。	関数は難しいので、また考えてみてください。
Hagemashi: すべての授業が終わってるまでに問題が解き終わる気がしないです。	自分のペースで進めていきましょう。
Hagemashi: だんだん問題が難しくなっていく中での正解問題数が38なのでペースが周りより遅いことはわかっていたのですが不安が大きくなってきました。	焦らず、コツコツ取り組んでみてください。
Hagemashi: 今までの範囲でも難しいなぁと感じていたのに関数という新たな強敵も出てきて世も末って感じです。	関数は難しいので、ゆっくり復習してみてください。
Hagemashi: 実際にやってみても難しくて鬱になりそうです。	そんな時は、時間をおいて取り組んでみてはいかがですか？
Hagemashi: 悔しいです。	大丈夫ですよ、ゆっくり取り組んで行きましょう。
Hagemashi: 内容が難しい。	そんな時は、細かく分けて取り組んでみてください。
Hagemashi: 今週の内容とても難しかったです。	そんな時は、落ち着いて少しずつ考えてみてください。
Hagemashi: ほかの科目の課題が多すぎて泣けます。	コツコツ進めていきましょう！
Hagemashi: 総まとめ復習みたいな問題が多いなと思ったのですがやはりリストとか文字列とかが苦手だなと感じてしまいました...	苦手な部分は、復習しながら進めていきましょう。
Hagemashi: 少し難しくなってきた。	ゆっくり取り組んでみてください。
Hagemashi: 難しいです。	そんな時は、細かく分けて考えてみてください。
Hagemashi: 次回からのアルゴリズムがとても不安です。	不安に思わず、落ち着いて取り組んでみてください。
Hagemashi: 今回の授業はAtCoder行き詰りました。	そんな時は、一旦他のことをやってみてはいかがですか？
Hagemashi: AtCoderのペースが難しくなって落ちてきました...。	ゆっくりでもコツコツ続けることが大切ですよ。
Hagemashi: 私には難しい。	そんな時は、細かく分けて取り組んでみてください。
Hagemashi: アンケートに目標が150問と書きましたが現在60問ほどしか進んでおらず来週からアルゴリズムになるのにまずいな、、と思いました。	焦らず、自分のペースで進めていきましょう。
Hagemashi: 毎週少しずつやっているつもりでも後れを取っているなという感じなので頑張ります!!!!!昨日中間アンケートに答えた後いつまでも鬱だ鬱だ言っててもよくないよなぁと思い夜にプログラミングに取り組みました。	毎日少ずつ進めるのがオススメですよ。
Hagemashi: 第8章から解説を見ながらでないと解けなくなってきていて焦ります。	焦らず、じっくり考えてみてください。
Hagemashi: 今後が心配です。	大丈夫ですよ、ゆっくり取り組んで行きましょう。
Hagemashi: 目標は100問ですがこれからもっと難しくなるだろうし目標を達成できるか心配です。	大丈夫ですよ、自分のペースで進めていきましょう。
Hagemashi: 難しい問題に1時間半くらい取り組んだが結局解けなくて悔しい。	一旦時間をおいて考えてみたら、解けるかもしれませんよ。
Hagemashi: また今回の範囲はB問題でも他の人の解答を見ないとわからないようなものがありまだまだ全然だなあと思った。	今回の範囲は難しかったので、また取り組んでみてください。
Hagemashi: AtCoderの方は最近進みが悪くなりました!!難しくなってきました、	時間をかけて問題を解いていくことも大切ですよ！
Hagemashi: 元々進捗が他の方よりもかなり遅いので心配です。	自分のペースで頑張っていきましょう！
Hagemashi: 達成できるか不安です...。	コツコツ進めていけば大丈夫ですよ！
Hagemashi: だんだん難しくなってきているとひしひしと感じています。	そんな時は、ゆっくりと取り組んでみてください。
Hagemashi: アルゴリズムについての内容に入り難しいな、、と感じています。	アルゴリズムは難しいので、時間をかけて考えてみてください。
Hagemashi: 論理式が難しくてなかなか解けないです。	論理式は難しいですよね、ゆっくり考えてみてください。
Hagemashi: AtCoderでは2問目からつまづいてしまいました。	そんな時は、一旦昔の問題を解いてみてはいかがですか？
Hagemashi: 二乗誤差で見事に沼りました。	二乗誤差は難しいですよね、ゆっくり考えてみてください。
Hagemashi: 次第に数学的にも難しい内容になってきているので難しいです。	そんな時は、細かく分けて考えてみてください。
Hagemashi: そこから自分なりにコードを記述するようになりましたが自分で問題を解いたわけではないのでそれを提出してACをもらってもいいのか少し不安になるときがあります。	大丈夫ですよ、一旦自分の中に落とし込んで解くことが大切です。
Hagemashi: 入力例を試して出力例が正しく出たとしても実際提出するとWAで返ってくることが今回の第9回の演習問題では特に多く苦戦しています。	そんな時は、ゆっくり問題を見直してみてください。
Hagemashi: 13日のABC、C問題まで解けたが振り返ってみるとびっくりするほどややこしいやり方で解いていて後悔した。	まずは解けたことが大切です。
Hagemashi: 今週先週と全然進みませんでした、心配です。	そんな時は、一旦前に戻って進めてみてください。
Hagemashi: 毎回割と苦労してます、。	地道に取り組むことが大切ですよ。
Hagemashi: 皆さん早く出来ているのかと思うと心配です。	自分のペースで進めていきましょう。
Hagemashi: その後そもそも余りが繰り返されることに気づいてなぜ気づかなかったのかとショックを受けました。	そういう時もありますよ。落ち着いて問題を見てみましょう。
Hagemashi: 解けていない問題を進めていこうとしていますが解ける問題がだんだんなくなってきていて焦っています。	そんな時は、少し離れてみてはいかがですか。
Hagemashi: ・198 POW?今回解いた問題の判定がTELばかりでメンタルがやられました。	そんな日もありますよ。落ち着いて考えてみてください。
Hagemashi: 周りの人が進んでいると思うと焦ってしまいます。	自分のペースで頑張っていきましょう！
Hagemashi: A問題はすらすら解けるようになったがB問題が全然解けないので焦ってます。	焦らず、じっくり考えてみてください。
Hagemashi: 関数が苦手なので理解するのが難しかったです。	関数は難しいので、また復習してみてください。
Hagemashi: すぐ解けそうな問題はおおよそ解いてしまったのでペースが落ちそうです...。	コツコツ続けていくことが大切ですよ。
