dic: プログラミング	コンピュータに意図した動作を行わせるために処理手順を作成すること
dic: 連想配列	Pythonの辞書に相当するデータ構造のこと
dic: リスト	複数のデータを順序を付けて格納するデータ構造のこと
dic: プレフィックス	文字列や番号の先頭に付加して特定の意味を付け加える要素のこと。接頭辞とも。
dic: サフィックス	文字列や番号の先頭に付加して特定の意味を付け加える要素のこと。接尾辞とも。
dic: 基数	位取り記数法で数値を書き記す際に各桁の重み付けの基本となる数で、位が上がる毎に何倍になるかを表す。
dic: リテラル	ソースコード上で、特定のデータ型の値を直に記載したもの
dic: 即値	ソースコード中に直に書き込まれたデータのこと
dic: 書式	文書や書類の定められた様式やテンプレート
dic: フォーマット	形式、書式、様式、体裁、型、構成などの意味を持つ
dic: テンプレート	鋳型、雛型、定型書式などの意味を持つ英単語。
dic: インデント	字下げのこと。文の行頭に空白を挿入して読みやすくすること。Pythonのようにインデントによってプログラムの構造を記述する。
dic: マジックナンバー	ソースコードに直書きされた数値。その意味や意図が記述した本人以外わからなくなる恐れあり。
dic: NaN	数値として表せない数値。非数とも。
dic: オブジェクト	互いに密接に関連するデータと手続き（処理手順）をひとまとまりにしたもののこと。
dic: クラス	オブジェクト指向プログラミングにおけるオブジェクトの雛型のこと。
dic: インスタンス	あらかじめ定義されたクラスなどをメインメモリ上に展開して処理・実行できる状態にした実体のこと。
dic: フィールド	オブジェクトの持つ固有のデータのこと。メンバ変数やプロパティとも
dic: メソッド	各オブジェクトに属する処理や操作のこと。
dic: カプセル化	外部に対して必要な情報のみ提供し、外から直に参照や操作する必要のないプロパティやメソッドを秘匿すること。
dic: ペイロード	送受信されるデータのパケットのうち、宛先などの制御情報を除いたデータ本体のこと
dic: パディング	データの長さを一定にするため前後に挿入される余白や無意味なデータのこと。
dic: ゼロパディング	数値を文字として表示する際に、固定帳の桁数に合わせて左右に「0」を追加すること。
dic: 固定長	データや要素、領域などの長さがあらかじめ決まって変化しないこと。対義語は「可変長」
dic: 可変長	データや要素、領域などの長さが実行時に変化させられること。
dic: 引数	関数やメソッドなどを呼び出すときに渡すデータのこと。
dic: パラメータ	ソフトウェアやシステムの挙動に影響を与える外部から与えられるデータのこと。
dic: 仮引数	関数やメソッドが呼び出し元から渡された値を受け取るために宣言された変数のこと。
dic: 実引数	関数やメソッドを呼び出す際に実際に引き渡される値や変数のこと。
dic: 可変長引数	あらかじめ数が固定されてなく、任意個の引数を受け取れること
dic: ステップ数	コンピュータプログラムの規模を測る指標の一つ。実質処理を行っているソースコード行数のこと。
dic: API	あるサービスを外部のプログラムから呼び出して利用できる規約のこと。
dic: デバッグ	コンピュータプログラムに潜む欠陥を探し出して取り除くこと。
dic: バグ	はプログラムに含まれる誤りのこと。必ずある。
dic: バグる	意図しない奇妙な挙動を示すこと。
dic: コンパイル	ソースコードをコンピュータが実行可能な形式に変換すること。
dic: コンパイラ	ソースコードをコンピュータが実行可能な形式に変換するツールのこと。
dic: スクリプト言語	コンパイルなしで実行できる軽量なプログラミング言語のこと。
dic: プラットフォーム	あるソフトウェアを動作させるのに必要な土台となる装置やソフトウェア、サービスのこと。
dic: クロスプラットフォーム	あるソフトウェアを複数の異なる仕様の機種やOSで同じように動作させられること。
dic: VM	ソフトウェアで実現されたコンピュータやマイクロプロセッサの動作を模した仮想的なコンピュータのこと。
dic: 仮想マシン	ソフトウェアで実現されたコンピュータやマイクロプロセッサの動作を模した仮想的なコンピュータのこと。
dic: インタプリタ	ソースコードをコンピュータが解釈・実行できる形式に変換しながら実行するソフトウェアのこと。
dic: 動的	プログラムの実行中に状態や構成が決まること。対義語は「静的」
dic: 静的	プログラムの実行前に状態や構成が決まること。対義語は「動的」
dic: オーバーヘッド	目的の処理を行うために発生する余分な処理やコストのこと。
dic: 動作環境	ソフトウェアが動作するハードウェアやOSの構成や設定のこと
dic: 環境	ソフトウェアが動作するハードウェアやOSの構成や設定のこと
dic: ビルド	ソースコードなどを元に実行可能ファイルや配布パッケージを作成すること
dic: デプロイ	開発したソフトウェアを実際の運用環境に配置・展開して実用に提供すること
dic: ポーティング	あるシステムで動作するよう開発されたソフトウェアを、異なる仕様や設計のシステムで動作するように作り変えること。
dic: アルゴリズム	ある特定の問題を解く手順を、単純な計算や操作の組み合わせとして明確に定義したもの。
dic: エラー	プログラムの実行を継続できない致命的な支障のこと。（頑張って取り除こう！）
dic: ランタイムエラー	コンピュータプログラムの実行時に発生するエラーのこと。
dic: コンパイル	プログラミング言語で書かれたコンピュータプログラム（ソースコード）を解析し、コンピュータが直接実行可能な形式のプログラム（オブジェクトコード）に変換すること。
dic: ライブラリ	ある機能を持ったプログラムを利用できるように部品化し、集めたプログラムのこと。
dic: ファイル	ストレージなどにデータを記録する際の最小の記録単位となるデータのまとまり。
dic: ファイル名	コンピュータのストレージ上に保存されたファイルの名前
dic: 拡張子	ファイル名のうち、「.」で区切られた右側の部分でファイルの種類を表す
dic: ファイルシステム	ストレージの記録状態を管理・制御し、ファイル単位でデータ操作可能にするOSの機能のこと
dic: ディレクトリ	複数のファイルをまとめて分類できる名前の付いた保管場所のこと。フォルダとも。
dic: フォルダ	複数のファイルをまとめて分類できる名前の付いた保管場所のこと。ディレクトリとも。
dic: カレントディレクトリ	実行中のソフトウェアが現在ファイル操作をできるディレクトリのこと
dic: パス	コンピュータシステム内で特定のリソースの位置を表す文字列のこと
dic: ファイルパス	ストレージ内のファイルやディレクトリの位置を表す文字列のこと
dic: 相対パス	現在位置からの相対的な位置によってパスを記述する記法のこと。
dic: 絶対パス	階層構造のルートからの位置によってパスを記述する記法のこと。
dic: ストレージ	永続的にデータを保存できる記憶装置のこと。ハードディスクやSSD、USBメモリなど。
dic: シェル	利用者からのコマンドを受け付けて結果を提示を行うOSの機能のこと
dic: CLI	コマンドベースのユーザーインターフェースのこと
dic: プロンプト	シェルにおいて入力を受け付けられる状態であることを示すメッセージのこと
dic: マクロ	ソースコード中に繰り返し登場する特定の記述を、別の短い記述に置き換える機能のこと
dic: プリプロセッサ	ある中心的な処理を行うプログラムに対して、その前処理を行うプログラムのこと。
dic: 文字コード	文字や記号を扱うために割り当てられた番号のこと。
dic: Unicode	世界中の様々な言語の文字を同時に使えるように規格化された文字コードのこと。ユニコードと読む。
dic: ユニコード	世界中の様々な言語の文字を同時に使えるように規格化された文字コードのこと。
dic: UTF-8	UnicodeをASCIIコードと互換のある形式で表現できる文字コードのこと。
dic: 互換のある形式	同時に扱っても不具合が生じない形式のこと
dic: バイト	8ビットのことを表す情報量の単位のこと
dic: バイト列	任意のビットパターンからなるバイト単位の長さを持つデータの集合。
dic: エンディアン	多バイトデータを記録するときの順序のこと。ビックエンディアンとリトルエンディアンがある。
dic: ビッグエンディアン	多バイトデータを最上位から下位への順序で扱う方式。
dic: リトルエンディアン	多バイトデータを最下位から上位への順序で扱う方式。
dic: スラッシュ	右上から左下への斜め線「/」文字のこと。
dic: バックスラッシュ	左上から右下への斜め線「\」のこと。スラッシュの逆向き。円マークが代わりに使われることもある。
dic: 全角文字	等幅フォントで幅と高さが等しい文字のこと。要するに、漢字やひらがなのこと。
dic: 半角文字	全角文字の半分の幅に表示される文字のことで、英数字などのASCII文字のこと。
dic: ASCII文字	ASCII(American Standard Code for Information Interchange)規格の文字。アスキーと読む。
dic: 制御文字	通信制御などの制御に用いるように割り当てられた文字コード。タブや改行が該当する。
dic: エスケープ文字	制御文字など印字しにくい文字コードを数値などで表記する記法のこと。
dic: エスケープシーケンス	制御文字など印字しにくい文字コードを数値などで表記する記法のこと。
dic: EOF	ファイルの終端のこと。
