talk: [|チャレンジ問題にも]挑戦したのですが分かりません[|でした]。	時間をおくとできるかもしれません。とりあえず次の問題に進もう！
talk: また自分の進め方が正しいのか[|不安[です|になります]。]	きっと大丈夫だよ、不安なときは友達に聞いてみよう！
talk: [|問題をやって]心折れました。	だんだん慣れていこう！
talk: 何回[|も]やり直しても正解にならない[|ので大変だった]。	たまには飛ばして進めてもいいと思うよ
talk: 考えてみたのですがエラーになってしまいわかりません[|でした]。	少したったらできるようになるかも！
talk: 休講で特にやっていないため何も進んでいません。	休講日は遊ぶべき
talk: [AtCoder|演習問題]はまだ進めていません。	次パソコン開いたときにやってみよ
talk: ちょくちょく進めないと思うのですが...	パソコン開いたついでにどうぞ
talk: [パソコン|PC]を開こうという気持ちにならない。	コギーと戯れにきてください
talk: ユーザ名が明らかに自分すぎて演習問題の進み具合がバレるかも[|と思い失敗したなと思いました]。	頑張っている感をアピールしてこ
talk: そのままAtCoderで提出したら不正解になってしまっていた。	入出力を確認すると良いかもね！
talk: 第2回目の[講義|演習問題]は進みませんでした。	来週までにもう一度チャレンジしてみよう！
talk: [|苦手ということもあり]やろうと思うまでに時間が[...|かかってしまいます]。	とりあえずパソコンを開くところから始めよう
talk: [やっぱり|]プログラミング[|が]苦手で結構難しかった[|です]。	だんだん慣れてくるはずです！頑張って！
talk: WAになり続けたりすごく大変でした。	それでもきちんと提出していて偉い
talk: 頑張ったのでお腹が[空いた|すきました]!	ドッグフードを分けてあげたい
talk: 想像以上に忙しく進められる時間が[ない|あまりありません[|でした]]。	パソコン開くついでにコギーに会いにきてね
talk: 慣れるまで少し時間がかかりそう[...|です]	慣れちゃえばきっと楽勝です！
talk: あと[一つ|二つ|三つ][|です]。	あと少し！頑張って！！
talk: Colabではちゃんと[|出力]できてもAtCoderではエラーになってしまう。	そういうこともあるよね、細かいところを確認してみよう！
talk: 例題はできるがAtCoderでの実践問題となると厳しい。	実践問題は手を動かし続けたらできるようになってきますよ！
talk: AtCoderにまだ慣れない[|です]。	お付き合いはまだまだ続くので、ぜひ慣れてください
talk: 今週は全くすすんでない[|です]。	じゃあ来週は頑張ろう！
talk: 毎回結果がでるまでにやや時間がある[|ので緊張してしまう]。	その間コギーと戯れて
talk: 空いた時間に[演習問題を|]少しずつ進めよう。	とてもよい心がけ！
talk: [|具体的な目標を定めていなかったので]結局だらけてしまいほとんど進められませんでした。	コギーが目標を決めてあげるよ、来週までに10問でどう？
talk: 前回より少しだけ進んだ気がします[|が応用になると難しくて解くことが難しいです]。	応用なので仕方ない！少し時間を空けてもう一度チャレンジしてみよう！
talk: AtCoder[|のアカウント]ですがログインすることができずまだ演習ができておりません。	すぐログインできるようになろう
talk: 倉光先生は[優しいので|][出席していれば\]単位は取れるだろう	コギーもそうだと思う
talk: 第1回目の授業からやらなければいけないことがたまっている状況です( ́;ω;`)	だんだん消化していこう！
talk: やっと[1週目の|]課題が終わりました...!長かったですね	お疲れさま！長い戦いです
talk: 私は繰り返し文が苦手だったのでfor文やwhile文の違いがよくわかっていませんでした。	いませんでしたってことはわかるようになったってことだね！優秀！
talk: 実行時エラーや不正解の連続で心が折れてしまいそうです。	エラーならコギーが助けになれるかも！
talk: 初めの方は比較的スムーズに解き進めていましたが電源プラグなどで時間を取られてしまいました。	こまめな充電大事
talk: 今日は[PC|パソコン]の調子がおかしく全然進みませんでした。	明日になったら機嫌良くなるかも！
talk: わからない問題はどんどん飛ばしていってしまっているので不安です。	少したったらもう一度トライしてみよう！
talk: AtCoderは50(おつり)まで進みました。	その調子！どんどん進めていこう！
talk: 最初の30問くらいよりも難しい問題が増えてきたように感じます。	資料も見ながらどんどん進めていこう！
talk: 周りに早い友人が多くて[焦ってしまいました|焦ります]。	追いつけるように頑張ってみよう！
talk: 第2回[の範囲|]は途中で止まってしまっている状態です。	時間があるときに続きもやってみて！
talk: [一昨日の|]ABCに参加しましたが1問目しか解けず心が折れました。	ABCに参加したこと自体偉い！！
talk: 消費税とソーシャルゲームに苦戦している。	一回紙を使ったりして、問題を整理しよう！
talk: リストの扱いが苦手で第4回テキスト内の例題を丁寧に進めていたら授業中に演習問題にたどり着かなかった。	苦手なところを意識的に丁寧に進めることは良いことです！演習問題は例題の復習に使ってね
talk: B問題になると時間が掛かってしまいます。	B問題もスラスラ解けるように頑張ろう！
talk: 預金が難し[い|かった[|です]]。	紙とペンを使って問題を整理してみよう！
talk: B問題が多くてかなりつまずきました。	B問題は難しいよね...けど練習していけばできるようになります！
talk: 今日は前回に比べて[問題が|]あまり進まなかった。	明日もまた一緒に進めよ！
talk: 例題の入力をして出力例が合っていたにも関わらずソースコードは間違っている判定をされた時にどこが間違っているのかを見つけるのが大変でした。	バグを見つける力もプログラミングでは重要です！
talk: 授業中に半分くらいしか進まないので毎回の課題が溜まってしまいます。	授業時間以外にもプログラミングの練習をしよう！
talk: 前の授業でできなかったところをどう解決したら良いかわかりません。	少し時間をあけてもう一度挑戦してみよう！
talk: 今日であれば友達は3回目の授業内容から進めるので聞きづらいです。	授業時間外に聞いてみるのも良いかもね
talk: オンラインだと[質問し|聞き]づらい[|です]。	コギーに質問しなよ！
talk: また改めてwhile、for構文に苦手意識がある[|なあ]と思いました。	だんだん薄れてくるから大丈夫！たくさん練習しよう！
talk: 出力のYESとYesの違いで何回も弾かれて大変でした。	出力の少しの違いでも跳ねられちゃうから要注意！
talk: このコードがこういう役割で何をやっているかというのがいまいちよく理解できておりません。	一行一行コードを追っていこう！プリント文をこまめに入れるのがおすすめ
talk: 周りの生徒の進捗状況が自分よりもだいぶ早そう[..|でとても焦りました。]	多分そんなことないし、まだまだこれからだよ！
talk: 学校の遠隔用の教室でzoomを受講しているのだが全員静かに授業を聞いているのであまり声を出せる環境ではなくて困っている。	ラウンジとかもおすすめ！
talk: 第二回の講義の範囲となってしまいますがコンテストの開始時間の問題が難しくてかなりてこずってしまいました。	時間をかけすぎず、どんどん先に進めていこう！
talk: 元々[list|リスト]が苦手なので他のものより進むのに時間がかかってます。	リストは慣れるととても便利です！頑張って習得しよう！
talk: 今回[|の演習問題]は前回よりは難易度が上がった[|と思いました]。	勉強を進めていくと難しくなるのは仕方ないことです。一緒に進めていこう！
talk: [シミュレーションを使う|]預金は難しいと思いました。	みんな苦手に思っているみたい、一人じゃないよ
talk: 今週の課題はなんだか難しくて[|あまりスムーズに]進めることができませんでした。	だんだん難しくはなっていくけど、一歩ずつ進めていこう！
talk: 今日の内容は途中で詰まってしまったため進みません[|でした]。	先の問題はもしかしたら解けるかも？
talk: 今までif、whileを使うときは問題に条件文で書いてある場合や使って解きなさいと書かれている状況下でしかなかったので電気プラグの問題でどのように考えれば上手くたどり着くのか自力では思いつきませんでした。	周りの友だちに相談してみてもいいかもね！
talk: 全体的に前回の問題よりも難しく感じ[|まし]た。	難易度はどんどん上がっていくものです。一緒に頑張ろう！
talk: filterの使い方が少し難しく感じ[|まし]た。	使っていくうちに慣れてくるから大丈夫です！
talk: 式が少し複雑になってしまいました。	だんだんシンプルに書けるように練習すればオッケーです
talk: [今日は|]なかなか疲れましたね...	そういう日もあるよね、明日も頑張ろ
talk: REやWAが来るとへこみます。	そんな時はコギーが相手になるよ
talk: [|難しくて]かなり時間がかかってしまった。	それだけ長い時間プログラミング練習していて偉い
talk: ゴールデンウィークはサボってしまっ[て|た][|[あんまり|全然]進みませんでした]。	休み明け気合を入れ直そう！
talk: B問題が多く[|難しかったため]いつもより進みが遅くなってしまいました。	B問題は難しいので仕方ない！だんだん慣れていこう
talk: 演習問題がBやCばかりでいつもよりも難易度が高く難し[い|かった[|です]]。	みんなB問題やC問題には苦しんでいるよ、練習あるのみ！
talk: 難しくて全然進みません[|でした]。	周りの友だちに聞いてみても良いかもね！
talk: ちょっと難しかった[|です]。	ちょっとなら優秀！この調子で進めてね！
talk: 友達に1問助けてもらいました!	友だち優しい、教える側も勉強になるのでどんどんヘルプを求めよう！
talk: リストをまだ使いこなせず[...|難しく感じ[|まし]た。]	少しずつ小技を増やしていきましょう！
talk: [何度も|]エラーを連発しとても悲し[い|かった[|です]]。	エラー5連続くらい出しちゃったら一回休も
talk: わからない問題があった場合飛ばして解くのですがそうするとどのコードを使えばいいかわからなくなることがあります。	コメントとかでメモっておこう！
talk: 少しペースが遅かったためゴールデンウィークの間に進めたのですが同じルームの子に追いついただけだったので悔しいです。	その子がめっっちゃ早いんだよ、焦らずやっていこう！
talk: リストが難しく友達に教えてもらわないと中々進めることができなかった[|です]。	友だちに感謝。代わりになんか教えてあげよ！
talk: 平均点難しかった。	式を整理しながら解き進めると良いかも！
talk: AtCoderを始めてからPythonの理解度が上がった気がします!	それは素晴らしい！目指せ色付きコーダー！
talk: リストと繰り返し[|の演習問題]はとても難し[い|かった[|です]]。	リストと繰り返しができれば色々なプログラムがかけるようになりますよ！頑張って！！
talk: [特に|]for文や演算系(+=など)を使うべき問題が難し[い|かった[|です]]。	使うべきだと気付いただけでもオッケーです！スラスラ書けるようになるとなお良いね！
talk: 何回も不正解が出てしまい心が折れそうになりました	そんな時は一回飛ばしちゃお
talk: 問題自体はクイズみたいでアルゴリズムを考えつくことは比較的容易なのですがコードで表現する部分に苦戦しています。	クイズみたいって思えるんだね！楽しそう！コードはパターンをいくつか覚えておくと楽に書けるようになるかも！
talk: 思うようにすらすらいかずこの時間内で課題リスト4~5問ほどしか進みませんでした。	4~5問はいい方だと思うよ！焦らずじっくり取り組みましょう！
talk: [このコードが|]何をしているのかよくわからな[い|かった]。	一行ずつコードを整理しながら追っていこう！時間がかかるけど、一番理解は深まります！
talk: 友達はもう30問目に進んでいると聞き少し焦り始めてきました。	その友だちがすごすぎるんだよ、自分のペースで進めてね！
talk: [list|リスト]使うの苦手です...。	リストは使用頻度高めなので、ぜひ練習してください！
talk: 一問あたりにかかる時間が長くなってき[|まし]た。	解き切ることが大切！
talk: 周りに比べたらまだまだ進捗は遅いかもしれません。	まぁいいじゃん、マイペースで進めていこ
talk: リストのところをやっているのですがとても難しく感じ[|まし]た。	全部解き終わった頃にはちょっと難しいくらいになってるよ
talk: defを使うやり方を去年授業で確認してたはずなのですがあまり理解出来ていなかったらしく進みが遅くなりそうです。	defという単語を覚えているだけでも十分です、色々な問題で使ってあげてね
talk: 前よりも授業内に進むスピードが遅くなっていると感じます。	じゃあ二倍速くらいにしてもらいますか
talk: AはできるようになったけれどもまだBとCは難しい[|なと思う[|ことが多い[|です]]]。	そしたらB問題をスラスラ解けるように特訓だね！
talk: [|1年生の時もそうでしたが]リストやfor文の内容に入ったころから一気に分からなくなってきてしまいました。	使いこなせるととっても楽になりますよ！丁寧に学習していこう
talk: [|例題は上手くできたが]自分で考えるのが難しかった。	だんだん慣れていこう！
talk: リストが苦手で今週の講義は自分には難し[い|かった[|です]]。	目指せリストマスター
talk: 第6回の演習問題の後半は複雑に感じて提出までに時間がかかった。	時間がかかっても解き切ることが大切です！その調子！
talk: [|特にグリッド圧縮と755には]かなり時間をかけているがまだ解けていない。	少し時間を開けてみると突然アイディアが湧いてくるかも
talk: テキストに載っていた再帰のプログラムは理解できたが演習問題へどう用いるかが分からず苦戦している。	再帰は難しいですよね...漸化式に落とし込んでみよう！
talk: 少し話が難しくなってき[|まし]た。	まだまだこれからです
talk: 難しい問題がありひとつの問題に時間をかけてしまいあまり進められなかった。	たまには飛ばしちゃってもいいと思うよ
talk: 今週は全然手をつけることができませんでした。	来週から覚醒するのかな
talk: [|だんだん内容が難しくなってきて]一人では全く進められなくなってきて焦っています。	焦らなくても大丈夫、少しずつ進めていこう！
talk: 友達に質問しずらくなってきた...。	向こうはそんなに気にしてないと思うよ
talk: WAが連発[|でなかなかてこずっており2問しかACが出ていません]。	そんなときもあるよね、頑張って！
talk: c問題が増えてきて難しくなってきた。	C問題の壁は大きいですが、この調子で！
talk: 二重誤差が難し[い|かった[|です]]。	難しいよね、わかります。
talk: リストの範囲が難しく感じ[|まし]た。	リストは苦手な人が多い範囲です、丁寧に学習を進めよう！
talk: でも授業時間以外に練習しようとアットコーダーを開くまでがすごい腰が重いです。	パソコン開いたついでにいかが？
talk: 他にもこんな人がいるのか気になります。	たぶんみんなそんなものです
talk: 今週はAtCoderをそんな進めることができませんでした。	来週もあるし再来週もあります
talk: 見やすいように名前を入れたのですがどこがダメなのかよくわからないです。	落ち着いて考えてみよう
talk: 1年生の時に関数は触れる程度でしか学習していないので6の関数から難しく授業時間内ではあまり進みませんでした。	まず関数の使い方を理解しましょう！なんとなくわかったらどんどん演習していこう！
talk: 何度か考えたり手を動かしてみましたが難しくて正解することが出来ませんでした。	まず考えるとか手を動かすことが大切なので十分です！だんだん正解できるようになっていきますよ
talk: 最初のほうはスラスラ解ける問題もありましたが非常に難しいと感じる問題が増えてき[|まし]た。	ここからが頑張りどきですね！
talk: 今は文字列に取り組んでいるのですが0から数えなくてはいけないことを忘れてしまったり組み合わせ方が難しいと思いました。	手を動かして慣れていきましょう！
talk: 先週はあまりやる気が出ず解いた量も少なかったので進んでいる人との差が開いてしまったように感じ[|まし]た。	みんなそんな週もあるのできっとプラマイ0
talk: 毎回あまり進まず時間がかかってしまうのを何とかしたいです。	何回も解いているうちに早くなっていきますよ！
talk: 感謝!!今週は体調が悪くてなかなか進めることができませんでした。	そんな週もあるよね、来週は元気になってたくさん進めよ
talk: 文字列の置き換えの問題が難し[い|かった[|です]]。	文字列は難しいですが、演習あるのみ！
talk: やはり例年通り最初のころのやる気がなくなってしまう...。	最後まで頑張れば何かいいことあるよ、きっと
talk: 内容が懐かしいものばかりで自分やらなすぎだな[|と感じ[|まし]た]。	記憶を呼び起こそう
talk: いつも難しいなと思っていましたが関数はやはりもっと難しくエラーをたくさん繰り返しました。	関数の引数や返り値を意識しよう！
talk: 友達と話しながらやると面白いな解けるなと思うことがあり解けると次の問題に行こうと思えるのですが一人でやると1問で疲れてなかなか次の問題に進めない気がしました。	じゃあ友だちと勉強会をやろ！
talk: しかし第6回はあまり数をこなせなかったことが影響しているのか以前までは複雑な問題でもすぐに解法がひらめいていたのですが第6回はひらめきが若干遅くなった気がしています。	使い慣れていない文法が増えてきたからかもね、Google先生にも助けてもらおう
talk: あまり進みませんでした。	明日から頑張ろう
talk: だんだんと番号が大きくなるにつれ内容も重くなってきていると感じます。	そういうものですよ
talk: また土曜日にABCに参加しましたがA問題しか解けませんでした...	ABCに参加することが偉い！
talk: わからないところを飛ばしてどんどん進んでしまっているので進捗はあまりよくない[と思[う。	気のせいだと信じて先に進もう
talk: 難しいです。	時々復習もするといいかもね
talk: 先週に比べかなり難し[い|かった[|です]]。	たしかに難しかったかもしれないけど、まだこれからです！
talk: C問題は実行時間超過になってしまい悔しかったです。	実行時間超過は悔しいよね...無駄な処理を減らせないか検討してみよう！
talk: 今週はあまりできませんでした。	明日から頑張ろう
talk: 関数難しいです。	引数と返り値を意識するといいかも！
talk: わかったようで分からない	わかった気になるにはたくさん問題を解くことが一番早いです！
talk: 最近自分一人で解ける問題が全然なくて焦っています。	焦る必要はないし、全てが自力である必要もないです！少しずつで大丈夫です
talk: 関数難し[い|かった[|です]]。	複雑なプログラムになるほど、関数は大切になってきます
talk: 関数を使い慣れていないので難し[い|かった[|です]]。	今まで習った構文とは少し書き方が違うので難しいよね、だんだん慣れていこう！
talk: 関数難しいです。	関数を積極的に使うようにして、練習しよう！
talk: 「こうやって解くのか!」という発見も学習であることは承知している重々承知のですが誰かの発想をほぼそのまま拝借するのもちょっと悔しいです。	たくさんの人の発想や解き方を知る機会も大切です！それを組み合わせると新たな発想が生まれるかも？
talk: 今日の関数はとても難し[い|かった[|です]]。	難しいと感じている人はあなただけじゃないよ
talk: すべての授業が終わってるまでに問題が解き終わる気がしないです。	きっとどうにかなっている、と信じよう
talk: だんだん問題が難しくなっていく中での正解問題数が38なのでペースが周りより遅いことはわかっていたのですが不安が大きくなってき[|まし]た。	毎週少しでもいいので解き進められるといいね！
talk: 今までの範囲でも難しいなぁと感じていたのに関数という新たな強敵も出てきて世も末って感じです。	強敵を倒して素敵な未来を迎えてください
talk: 実際にやってみても難しくて鬱になりそうです。	関数のせいで鬱にならないで
talk: 悔しいです。	来週からも頑張ろう
talk: 内容が難しい。	プログラミングって奥深い
talk: 今週の内容とても難し[い|かった[|です]]。	ぜひ時間をかけて復習してみてください
talk: ほかの科目の課題が多すぎて泣けます。	それは助けてあげられない...
talk: 総まとめ復習みたいな問題が多いなと思ったのですがやはりリストとか文字列とかが苦手だなと感じてしまいました...	みんなが苦手な部分なので、焦らず復習してみよう！
talk: 少し難しくなってきた。	たぶん気のせいだよ！！
talk: 難しいです。	最初は難しけど、だんだんできるようになってくるよ！
talk: 次回からのアルゴリズムがとても不安です。	いまから不安がらなくてOK！
talk: 今回の授業はAtCoder行き詰りました。	授業外でもぜひ取り組んでね！
talk: AtCoderのペースが難しくなって落ちてき[|まし]た...。	解き続けることが大切！
talk: 私には難しい。	それはみんなにとっても難しい
talk: アンケートに目標が150問と書きましたが現在60問ほどしか進んでおらず来週からアルゴリズムになるのにまずいな、、と思いました。	ぜひ達成してほしいところです！
talk: 毎週少しずつやっているつもりでも後れを取っているなという感じなので頑張ります!!!!!昨日中間アンケートに答えた後いつまでも鬱だ鬱だ言っててもよくないよなぁと思い夜にプログラミングに取り組みました。	偉すぎます、鬱ながらも少しずつやっている時点で偉い
talk: 第8章から解説を見ながらでないと解けなくなってきていて焦ります。	まずは解説を理解するところから始めよう！
talk: 今後が心配です。	基本をマスターしておけば大丈夫です！
talk: 目標は100問ですがこれからもっと難しくなるだろうし目標を達成できるか心配です。	努力を続けることが大切です！
talk: 難しい問題に1時間半くらい取り組んだが結局解けなくて悔しい。	また三日後くらいに取り組んでみる？
talk: また今回の範囲はB問題でも他の人の解答を見ないとわからないようなものがありまだまだ全然だなあと思った。	B問題もたまに難しいよね、ぜひ色々な人の解答からアイディアや書き方を盗んでください
talk: AtCoderの方は最近進みが悪くなりました!!難しくなってき[|まし]た、	難しくなっているから仕方ない！頻度を落とさなければ問題ないです！
talk: 元々進捗が他の方よりもかなり遅いので心配です。	みんなそう言っているので大丈夫です？
talk: 達成できるか不安です...。	頑張るしかない！
talk: だんだん難しくなってきているとひしひしと感じています。	まだまだこれからですよ
talk: アルゴリズムについての内容に入り難しいな、、と感じています。	アルゴリズムの知識をまず勉強していきましょう
talk: 論理式が難しくてなかなか解けないです。	解けない問題はありません！
talk: AtCoderでは2問目からつまづいてしまいました。	じゃあ3問目といてみよう！
talk: 二乗誤差で見事に沼りました。	沼から抜け出す突破口を見つけるんだ！
talk: 次第に数学的にも難しい内容になってきている[|ので難しいです]。	ついでに数学マスターも目指しちゃう？
talk: 自分で問題を解いたわけではないのでそれを提出してACをもらってもいいのか少し不安になるときがあります。	自力で解かなくても理解ができていればとりあえずOK
talk: 入力例を試して出力例が正しく出たとしても実際提出するとWAで返ってくることが今回の第9回の演習問題では特に多く苦戦しています。	コーナーケースをじっくり考えてみよう！
talk: 振り返ってみるとびっくりするほどややこしいやり方で解いていて後悔した。	振り返るのはとても良いことですね！次から気をつければOK！
talk: 今週先週と全然進みませんでした、心配です。	来週から本気を出そう
talk: 毎回割と苦労してます、。	今苦労しておけば、来年は楽になれますよ！
talk: 皆さん早く出来ているのかと思うと心配です。	みんなも時間がかかりすぎてしまうって言っているよ！大丈夫！
talk: なぜ気づかなかったのかとショックを受けました。	気づけるようになれれば十分！
talk: 解ける問題がだんだんなくなってきていて焦っています。	焦る必要はないです！自分で問題を探してみてもいいかもね
talk: 今回解いた問題の判定がTLEばかりでメンタルがやられました。	TLEは辛いよね、計算量をしっかり考えてみよう！
talk: 周りの人が進んでいると思うと焦ってしまいます。	たぶん同じくらいの人もたくさんいるよ！焦らずコツコツやりましょう
talk: [|A問題はすらすら解けるようになったが]B問題が全然解けない[|ので焦ってます]。	B問題とA問題は難易度結構違うからね、練習あるのみ！
talk: 関数が苦手なので理解するのが難し[い|かった[|です]]。	演習課題で慣れていこう！
talk: すぐ解けそうな問題はおおよそ解いてしまった[|のでペースが落ちそうです...]。	ちょっと時間かかりそうな問題に着手し始めよう！
talk: 最初の4問だけ解けましたがそれ以降は本当に難しくて歯が立ちませんでした。	4問解けただけでも優秀じゃない？
talk: アルゴリズムはやっぱり難しいです。	アルゴリズムはまず知識を身につけないとね
talk: c問題はやることが多くて大変です	C問題を解けるようになれたらすごい！
talk: かなり遅れているので不安ですが頑張ります。	そんなことないし、まだまだこれからだよ！
talk: スマホ中毒を頑張って考えていたのですが考えるべき例外が多すぎて挫折しました。	すぐコードにしないで紙を使って落ち着いて整理しよう！
talk: 最近1問解くのに時間がかかってなかなか進みません。	解き切ることが大切です！
talk: 時間を見つけて楽しく解いてはいますが目標のACの数に届くか心配になってき[|まし]た。	楽しく解けてるならいいじゃん！
talk: 簡単な並び替えなら簡単だが複雑になるとわからなくなる。	できるだけ簡単に書くように心がけでみよう！突破口があるはず！
talk: 毎日AtCoderをやる習慣がせっかくついたのにくじけそうです。	めちゃくちゃ偉いじゃん！くじけないで続けてね！
talk: 先週先々週に引き続き全然進んでなくてより腰が重くなっています。	腰を粉砕してあげよう
talk: どうしても思いつかず他の人が解答したプログラムを見てprintで途中を表示しながらこういう流れだと理解することが増えていて自分の力になっているのかが不安です。	printでデバッグするのも一つの大事なプログラミング技術ですよ！理解できたならよしとしよう！
talk: 週に解くスピードもやる気も落ちてきてしまっているのが最近の悩みです。	週に10問解けたら褒めてあげるよ？
talk: どうすればまたやる気になれるのでしょうか。	10問解けたらお菓子を1つ買いに行くとか？
talk: [|だんだんと]プログラミングの内容が複雑になってきて考えるのに苦労します。	それをできるようになってこそ！
talk: アルゴリズムに入ってから問題が難しくなり[|AtCoderに取り組むのに]腰が重たくなってき[|まし]た。	みんな腰重くなりがち
talk: 第9回の問題がCが多くて苦戦し時間がかかってしまいました。	少しでも多く解けるように頑張ろう！
talk: 教わってようやく1問という感じ[|です]。	まずその1問を正しく理解しよう！
talk: 最終どのくらい終わらせられることが出来るのか不安です。	きっとどうにかなってるから大丈夫
talk: アルゴリズムになってからすごく問題が難しくなってきたと感じます。	アルゴリズムは難しい部分なので仕方ないよ
talk: アルゴリズム難しい[|です]。	まず一つコードを理解するところから始めよう！
talk: 分からなくて[|[|他の人のコード参考にしようと思っても]全然理解できなくて]やばいって思ってます。	まずはコードを動かして、print文を入れながら理解を深めよう！
talk: ほかの中間試験が一通り終わったのでこの授業も本腰入れておこう。	ぜひお願いします
talk: 関数が入ってから全然進みますん。	1問ずつこなしていこう！
